PARAMETER_CODE,SITE_LONG,STATE_NAME,COUNTY_NAME,DV_YEAR,DESIGN_VALUE,DV_valid,NAA
PM 10,16-001-0009,Idaho,Ada,2020,0,Y,"Ada County; Boise, ID"
PM 10,16-001-0009,Idaho,Ada,2021,0,Y,"Ada County; Boise, ID"
PM 10,16-001-0009,Idaho,Ada,2022,0,Y,"Ada County; Boise, ID"
PM 10,08-001-3001,Colorado,Adams,2015,0,Y,"Adams, Denver, and Boulder Counties; Denver Metropolitan area, CO"
PM 10,08-001-3001,Colorado,Adams,2016,0,Y,"Adams, Denver, and Boulder Counties; Denver Metropolitan area, CO"
PM 10,08-001-3001,Colorado,Adams,2017,0,Y,"Adams, Denver, and Boulder Counties; Denver Metropolitan area, CO"
PM 10,08-001-3001,Colorado,Adams,2018,0,Y,"Adams, Denver, and Boulder Counties; Denver Metropolitan area, CO"
PM 10,08-001-3001,Colorado,Adams,2019,0,Y,"Adams, Denver, and Boulder Counties; Denver Metropolitan area, CO"
PM 10,08-001-3001,Colorado,Adams,2020,0,Y,"Adams, Denver, and Boulder Counties; Denver Metropolitan area, CO"
PM 10,08-001-3001,Colorado,Adams,2021,0,Y,"Adams, Denver, and Boulder Counties; Denver Metropolitan area, CO"
PM 10,08-001-3001,Colorado,Adams,2022,0,Y,"Adams, Denver, and Boulder Counties; Denver Metropolitan area, CO"
PM 10,56-001-0800,Wyoming,Albany,2015,0,Y,-
PM 10,56-001-0801,Wyoming,Albany,2015,0,Y,-
PM 10,56-001-0006,Wyoming,Albany,2015,0,Y,-
PM 10,56-001-0800,Wyoming,Albany,2016,0,Y,-
PM 10,56-001-0801,Wyoming,Albany,2016,0,Y,-
PM 10,56-001-0006,Wyoming,Albany,2016,0,Y,-
PM 10,56-001-0800,Wyoming,Albany,2017,0,Y,-
PM 10,56-001-0801,Wyoming,Albany,2017,0,Y,-
PM 10,56-001-0006,Wyoming,Albany,2017,0,Y,-
PM 10,56-001-0800,Wyoming,Albany,2018,0,Y,-
PM 10,56-001-0801,Wyoming,Albany,2018,0,Y,-
PM 10,56-001-0006,Wyoming,Albany,2018,0,Y,-
PM 10,56-001-0008,Wyoming,Albany,2018,0,Y,-
PM 10,56-001-0009,Wyoming,Albany,2018,0,Y,-
PM 10,56-001-0800,Wyoming,Albany,2019,0,Y,-
PM 10,56-001-0801,Wyoming,Albany,2019,0,Y,-
PM 10,56-001-0006,Wyoming,Albany,2019,0,Y,-
PM 10,56-001-0008,Wyoming,Albany,2019,0,Y,-
PM 10,56-001-0009,Wyoming,Albany,2019,0,Y,-
PM 10,56-001-0801,Wyoming,Albany,2020,0,Y,-
PM 10,56-001-0006,Wyoming,Albany,2020,0,Y,-
PM 10,56-001-0008,Wyoming,Albany,2020,0,Y,-
PM 10,56-001-0009,Wyoming,Albany,2020,0,Y,-
PM 10,56-001-0801,Wyoming,Albany,2021,0,Y,-
PM 10,56-001-0008,Wyoming,Albany,2021,0,Y,-
PM 10,56-001-0009,Wyoming,Albany,2021,0,Y,-
PM 10,56-001-0801,Wyoming,Albany,2022,0,Y,-
PM 10,56-001-0008,Wyoming,Albany,2022,0,Y,-
PM 10,56-001-0009,Wyoming,Albany,2022,0,Y,-
PM 10,42-003-0064,Pennsylvania,Allegheny,2015,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
PM 10,42-003-0067,Pennsylvania,Allegheny,2015,0,Y,-
PM 10,42-003-0092,Pennsylvania,Allegheny,2015,0,Y,-
PM 10,42-003-1301,Pennsylvania,Allegheny,2015,0,Y,-
PM 10,42-003-3006,Pennsylvania,Allegheny,2015,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
PM 10,42-003-3007,Pennsylvania,Allegheny,2015,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
PM 10,42-003-7004,Pennsylvania,Allegheny,2015,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
PM 10,42-003-0003,Pennsylvania,Allegheny,2015,0,Y,-
PM 10,42-003-0031,Pennsylvania,Allegheny,2015,0,Y,-
PM 10,42-003-0064,Pennsylvania,Allegheny,2016,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
PM 10,42-003-0067,Pennsylvania,Allegheny,2016,0,Y,-
PM 10,42-003-1301,Pennsylvania,Allegheny,2016,0,Y,-
PM 10,42-003-3006,Pennsylvania,Allegheny,2016,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
PM 10,42-003-3007,Pennsylvania,Allegheny,2016,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
PM 10,42-003-7004,Pennsylvania,Allegheny,2016,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
PM 10,42-003-0031,Pennsylvania,Allegheny,2016,0,Y,-
PM 10,42-003-0064,Pennsylvania,Allegheny,2017,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
PM 10,42-003-0067,Pennsylvania,Allegheny,2017,0,Y,-
PM 10,42-003-1301,Pennsylvania,Allegheny,2017,0,Y,-
PM 10,42-003-3006,Pennsylvania,Allegheny,2017,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
PM 10,42-003-3007,Pennsylvania,Allegheny,2017,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
PM 10,42-003-7004,Pennsylvania,Allegheny,2017,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
PM 10,42-003-0031,Pennsylvania,Allegheny,2017,0,Y,-
PM 10,42-003-0064,Pennsylvania,Allegheny,2018,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
PM 10,42-003-0067,Pennsylvania,Allegheny,2018,0,Y,-
PM 10,42-003-1301,Pennsylvania,Allegheny,2018,0,Y,-
PM 10,42-003-3006,Pennsylvania,Allegheny,2018,0,Y,"Allegheny County; The area including Liberty, Lincoln, Port Vue, and Glassport Boroughs and the City of Clairton, PA"
