#Ozone Design Values
#STATE_CODE,COUNTY_CODE,TRIBAL_CODE,SITE_ID,PARAMETER_CODE,POC,DV_YEAR,SI_ID,MO_ID,STREET_ADDRESS,LOCAL_SITE_ID,LOCAL_SITE_NAME,LATITUDE,LONGITUDE,STATE_NAME,TRIBAL_NAME,COUNTY_NAME,CITY_NAME,CBSA_NAME,URBANIZED_AREA,POLLUTANT_NAME,STANDARD_UNITS_CODE,STANDARD_UNITS_DESC,DV_YEAR_SEASON_BEGIN_DATE,DV_YEAR_SEASON_END_DATE,DV_YEAR_VALID_DAYS,DV_YEAR_MISSING_DAYS_ALTS,DV_YEAR_REQUIRED_DAYS,DV_YEAR_PERCENT_COMPLETE,DV_YEAR_4TH_MAX,DV_YEAR_CRITERIA_IND,DV_YEAR_CERTIFICATION,YEAR_1_SEASON_BEGIN_DATE,YEAR_1_SEASON_END_DATE,YEAR_1_VALID_DAYS,YEAR_1_MISSING_DAYS_ALTS,YEAR_1_REQUIRED_DAYS,YEAR_1_PERCENT_COMPLETE,YEAR_1_4TH_MAX,YEAR_1_CRITERIA_IND,YEAR_1_CERTIFICATION,YEAR_2_SEASON_BEGIN_DATE,YEAR_2_SEASON_END_DATE,YEAR_2_VALID_DAYS,YEAR_2_MISSING_DAYS_ALTS,YEAR_2_REQUIRED_DAYS,YEAR_2_PERCENT_COMPLETE,YEAR_2_4TH_MAX,YEAR_2_CRITERIA_IND,YEAR_2_CERTIFICATION,DV_PERCENT_COMPLETE,DESIGN_VALUE,DV_VALIDITY_IND,EDT_ID,STANDARD_ID,PRIMARY_STANDARD_LEVEL,STANDARD_DESCRIPTION,STATISTIC_NAME
08,019,,0006,44201,,2014,100167,,Near summit of Berthoud Pass off US Highway 40,,Mines Peak,39.794391,-105.76398,Colorado,,Clear Creek,Not in a city,"Denver-Aurora-Lakewood, CO",Not in an urban area,Ozone,007,Parts per million,20140301,20140930,0,0,214,0,,N,U,,,,,,,,N,,,,,,,,,N,,0,,N,5,23,.07,Ozone 8-hour 2015,Annual 4th Maximum
08,019,,0006,44201,,2015,100167,,Near summit of Berthoud Pass off US Highway 40,,Mines Peak,39.794391,-105.76398,Colorado,,Clear Creek,Not in a city,"Denver-Aurora-Lakewood, CO",Not in an urban area,Ozone,007,Parts per million,20150301,20150930,0,0,214,0,,N,X,20140301,20140930,0,0,214,0,,N,U,,,,,,,,N,,0,,N,5,23,.07,Ozone 8-hour 2015,Annual 4th Maximum
08,019,,0006,44201,,2016,100167,,Near summit of Berthoud Pass off US Highway 40,,Mines Peak,39.794391,-105.76398,Colorado,,Clear Creek,Not in a city,"Denver-Aurora-Lakewood, CO",Not in an urban area,Ozone,007,Parts per million,20160301,20160930,0,0,214,0,,N,X,20150301,20150930,0,0,214,0,,N,X,20140301,20140930,0,0,214,0,,N,U,0,,N,5,23,.07,Ozone 8-hour 2015,Annual 4th Maximum
08,019,,0006,44201,,2017,100167,,Near summit of Berthoud Pass off US Highway 40,,Mines Peak,39.794391,-105.76398,Colorado,,Clear Creek,Not in a city,"Denver-Aurora-Lakewood, CO",Not in an urban area,Ozone,007,Parts per million,20170101,20171231,0,0,365,0,,N,N,20160301,20160930,0,0,214,0,,N,X,20150301,20150930,0,0,214,0,,N,X,0,,N,5,23,.07,Ozone 8-hour 2015,Annual 4th Maximum
08,019,,0006,44201,,2018,100167,,Near summit of Berthoud Pass off US Highway 40,,Mines Peak,39.794391,-105.76398,Colorado,,Clear Creek,Not in a city,"Denver-Aurora-Lakewood, CO",Not in an urban area,Ozone,007,Parts per million,20180101,20181231,0,0,365,0,,N,N,20170101,20171231,0,0,365,0,,N,N,20160301,20160930,0,0,214,0,,N,X,0,,N,5,23,.07,Ozone 8-hour 2015,Annual 4th Maximum
08,019,,0006,44201,,2019,100167,,Near summit of Berthoud Pass off US Highway 40,,Mines Peak,39.794391,-105.76398,Colorado,,Clear Creek,Not in a city,"Denver-Aurora-Lakewood, CO",Not in an urban area,Ozone,007,Parts per million,20190101,20191231,0,0,365,0,,N,N,20180101,20181231,0,0,365,0,,N,N,20170101,20171231,0,0,365,0,,N,N,0,,N,5,23,.07,Ozone 8-hour 2015,Annual 4th Maximum
08,019,,0006,44201,,2020,100167,,Near summit of Berthoud Pass off US Highway 40,,Mines Peak,39.794391,-105.76398,Colorado,,Clear Creek,Not in a city,"Denver-Aurora-Lakewood, CO",Not in an urban area,Ozone,007,Parts per million,20200101,20201231,0,0,366,0,,N,,20190101,20191231,0,0,365,0,,N,N,20180101,20181231,0,0,365,0,,N,N,0,,N,5,23,.07,Ozone 8-hour 2015,Annual 4th Maximum
08,019,,0006,44201,,2021,100167,,Near summit of Berthoud Pass off US Highway 40,,Mines Peak,39.794391,-105.76398,Colorado,,Clear Creek,Not in a city,"Denver-Aurora-Lakewood, CO",Not in an urban area,Ozone,007,Parts per million,20210101,20211231,0,0,365,0,,N,,20200101,20201231,0,0,366,0,,N,,20190101,20191231,0,0,365,0,,N,N,0,,N,5,23,.07,Ozone 8-hour 2015,Annual 4th Maximum
08,019,,0006,44201,,2022,100167,,Near summit of Berthoud Pass off US Highway 40,,Mines Peak,39.794391,-105.76398,Colorado,,Clear Creek,Not in a city,"Denver-Aurora-Lakewood, CO",Not in an urban area,Ozone,007,Parts per million,20220101,20221231,0,0,365,0,,N,,20210101,20211231,0,0,365,0,,N,,20200101,20201231,0,0,366,0,,N,,0,,N,5,23,.07,Ozone 8-hour 2015,Annual 4th Maximum
08,019,,0006,44201,,2023,100167,,Near summit of Berthoud Pass off US Highway 40,,Mines Peak,39.794391,-105.76398,Colorado,,Clear Creek,Not in a city,"Denver-Aurora-Lakewood, CO",Not in an urban area,Ozone,007,Parts per million,20230101,20231231,0,0,365,0,,N,,20220101,20221231,0,0,365,0,,N,,20210101,20211231,0,0,365,0,,N,,0,,N,5,23,.07,Ozone 8-hour 2015,Annual 4th Maximum
