#SO2 Design Values
#STATE_OR_TRIBE_IND,COUNTY_OR_TRIBE_CODE,SITE_ID_NUMBER,PARAMETER_CODE,DESIGN_VALUE_YEAR,EXCEPTIONAL_DATA_TYPE,STANDARD_DESCRIPTION,STATISTIC_NAME,STANDARD_LEVEL,UNITS_CODE,UNITS_DESCRIPTION,LOCAL_META_DATA,LATITUDE,LONGITUDE,DV_YEAR_COMPLETE_QUARTERS,DV_YEAR_99TH_PERCENTILE,DV_YEAR_COMPLETENESS_IND,DV_YEAR_CERTIFICATION_IND,YEAR_1_COMPLETE_QUARTERS,YEAR_1_99TH_PERCENTILE,YEAR_1_COMPLETENESS_IND,YEAR_1_CERTIFICATION_IND,YEAR_2_COMPLETE_QUARTERS,YEAR_2_99TH_PERCENTILE,YEAR_2_COMPLETENESS_IND,YEAR_2_CERTIFICATION_IND,DESIGN_VALUE,DV_VALIDITY_IND,DV_YEAR_POC,YEAR_1_POC,YEAR_2_POC,DV_YEAR_HIGH_TEST_99TH_PCT,DV_YEAR_LOW_TEST_99TH_PCT,YEAR_1_HIGH_TEST_99TH_PCT,YEAR_1_LOW_TEST_99TH_PCT,YEAR_2_HIGH_TEST_99TH_PCT,YEAR_2_LOW_TEST_99TH_PCT,HIGH_TEST_DV,LOW_TEST_DV,Q1_3YEAR_VALID_DAYS,Q2_3YEAR_VALID_DAYS,Q3_3YEAR_VALID_DAYS,Q4_3YEAR_VALID_DAYS,Q1_3YEAR_MAX_ALL_DAYS,Q2_3YEAR_MAX_ALL_DAYS,Q3_3YEAR_MAX_ALL_DAYS,Q4_3YEAR_MAX_ALL_DAYS,Q1_3YEAR_MIN_VALID_DAYS,Q2_3YEAR_MIN_VALID_DAYS,Q3_3YEAR_MIN_VALID_DAYS,Q4_3YEAR_MIN_VALID_DAYS,Q1_MIN_COMPLETENESS,Q2_MIN_COMPLETENESS,Q3_MIN_COMPLETENESS,Q4_MIN_COMPLETENES,STATE_NAME,COUNTY_NAME,POLLUTANT_NAME,URBANIZED_AREA,LOCAL_SITE_NAME,LOCAL_SITE_ID,TRIBAL_NAME,CITY_NAME,CBSA_NAME,POLLUTANT_STANDARD_ID
01,073,0023,42401,2023,5,SO2 1-hour 2010,Annual 99th Percentile,75,008,Parts per billion,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",33.5530560008695,-86.815,4,11.6,Y,Y,4,9.8,Y,S,4,13.3,Y,Y,12,Y,2,2,2,,,,,,,,,248,244,249,252,14.1,14.3,17.5,12,-.3,-.6,0,-.2,88.8888888888888888888888888888888888889,80.2197802197802197802197802197802197802,83.6956521739130434782608695652173913044,80.4347826086956521739130434782608695652,Alabama,Jefferson,Sulfur dioxide,"Birmingham, AL",North Birmingham,BIRM1,,Birmingham,"Birmingham-Hoover, AL Metropolitan Statistical Area",19
01,073,0023,42401,2023,5,SO2 Annual 2024,Annual Mean,10,008,Parts per billion,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",33.5530560008695,-86.815,4,1.04417,Y,Y,4,.188464,Y,S,4,.629101,Y,Y,1,Y,2,2,2,,-.20416666666666666666666666666666666667,,-.62083333333333333333333333333333333333,,-.30588235294117647058823529411764705882,,,248,244,249,252,14.1,14.3,17.5,12,-.3,-.6,0,-.2,88.8888888888888888888888888888888888889,80.2197802197802197802197802197802197802,83.6956521739130434782608695652173913044,80.4347826086956521739130434782608695652,Alabama,Jefferson,Sulfur dioxide,"Birmingham, AL",North Birmingham,BIRM1,,Birmingham,"Birmingham-Hoover, AL Metropolitan Statistical Area",28
01,073,0023,42401,2024,5,SO2 1-hour 2010,Annual 99th Percentile,75,008,Parts per billion,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",33.5530560008695,-86.815,4,15.5,Y,S,4,11.6,Y,Y,4,9.8,Y,S,12,Y,2,2,2,,,,,,,,,246,243,258,263,16.5,14.3,17.5,19.4,-.3,-.6,0,0,88.8888888888888888888888888888888888889,80.2197802197802197802197802197802197802,89.1304347826086956521739130434782608696,92.3913043478260869565217391304347826087,Alabama,Jefferson,Sulfur dioxide,"Birmingham, AL",North Birmingham,BIRM1,,Birmingham,"Birmingham-Hoover, AL Metropolitan Statistical Area",19
01,073,0023,42401,2024,5,SO2 Annual 2024,Annual Mean,10,008,Parts per billion,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",33.5530560008695,-86.815,4,.956471,Y,S,4,1.04417,Y,Y,4,.188464,Y,S,1,Y,2,2,2,,-.09166666666666666666666666666666666667,,-.20416666666666666666666666666666666667,,-.62083333333333333333333333333333333333,,,246,243,258,263,16.5,14.3,17.5,19.4,-.3,-.6,0,0,88.8888888888888888888888888888888888889,80.2197802197802197802197802197802197802,89.1304347826086956521739130434782608696,92.3913043478260869565217391304347826087,Alabama,Jefferson,Sulfur dioxide,"Birmingham, AL",North Birmingham,BIRM1,,Birmingham,"Birmingham-Hoover, AL Metropolitan Statistical Area",28
01,073,0023,42401,2025,5,SO2 1-hour 2010,Annual 99th Percentile,75,008,Parts per billion,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",33.5530560008695,-86.815,3,10.3,N,,4,15.5,Y,S,4,11.6,Y,Y,12,N,2,2,2,,,,,,,,,253,245,266,176,22.3,14.3,17.5,19.4,0,0,.5,.8,90,82.4175824175824175824175824175824175824,93.4782608695652173913043478260869565217,92.3913043478260869565217391304347826087,Alabama,Jefferson,Sulfur dioxide,"Birmingham, AL",North Birmingham,BIRM1,,Birmingham,"Birmingham-Hoover, AL Metropolitan Statistical Area",19
01,073,0023,42401,2025,5,SO2 Annual 2024,Annual Mean,10,008,Parts per billion,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",33.5530560008695,-86.815,3,1.540966,N,,4,.956471,Y,S,4,1.04417,Y,Y,1,N,2,2,2,,,,-.09166666666666666666666666666666666667,,-.20416666666666666666666666666666666667,,,253,245,266,176,22.3,14.3,17.5,19.4,0,0,.5,.8,90,82.4175824175824175824175824175824175824,93.4782608695652173913043478260869565217,92.3913043478260869565217391304347826087,Alabama,Jefferson,Sulfur dioxide,"Birmingham, AL",North Birmingham,BIRM1,,Birmingham,"Birmingham-Hoover, AL Metropolitan Statistical Area",28
01,073,1003,42401,2023,5,SO2 1-hour 2010,Annual 99th Percentile,75,008,Parts per billion,"FAIRFIELD, PFD, 5229 COURT B",33.4855560008686,-86.915,4,5.5,Y,N,4,6.2,Y,S,4,6.8,Y,Y,6,Y,1,1,1,,,,,,,,,268,273,272,275,12.6,9.4,12.4,12,0,0,-.4,-.5,97.7777777777777777777777777777777777778,100,95.6521739130434782608695652173913043478,98.913043478260869565217391304347826087,Alabama,Jefferson,Sulfur dioxide,"Birmingham, AL",Fairfield,1003,,Fairfield,"Birmingham-Hoover, AL Metropolitan Statistical Area",19
01,073,1003,42401,2023,5,SO2 Annual 2024,Annual Mean,10,008,Parts per billion,"FAIRFIELD, PFD, 5229 COURT B",33.4855560008686,-86.915,4,.243998,Y,N,4,.340445,Y,S,4,.370279,Y,Y,0,Y,1,1,1,,-.57083333333333333333333333333333333333,,0,,.029166666666666666666666666666666666667,,,268,273,272,275,12.6,9.4,12.4,12,0,0,-.4,-.5,97.7777777777777777777777777777777777778,100,95.6521739130434782608695652173913043478,98.913043478260869565217391304347826087,Alabama,Jefferson,Sulfur dioxide,"Birmingham, AL",Fairfield,1003,,Fairfield,"Birmingham-Hoover, AL Metropolitan Statistical Area",28
01,073,1003,42401,2024,5,SO2 1-hour 2010,Annual 99th Percentile,75,008,Parts per billion,"FAIRFIELD, PFD, 5229 COURT B",33.4855560008686,-86.915,1,9.9,N,S,4,5.5,Y,N,4,6.2,Y,S,7,N,1,1,1,,,,,,,,,234,260,180,183,15,7.4,12.4,12,0,0,-.4,-.5,61.5384615384615384615384615384615384615,85.7142857142857142857142857142857142857,95.6521739130434782608695652173913043478,98.913043478260869565217391304347826087,Alabama,Jefferson,Sulfur dioxide,"Birmingham, AL",Fairfield,1003,,Fairfield,"Birmingham-Hoover, AL Metropolitan Statistical Area",19
01,073,1003,42401,2024,5,SO2 Annual 2024,Annual Mean,10,008,Parts per billion,"FAIRFIELD, PFD, 5229 COURT B",33.4855560008686,-86.915,1,.427609,N,S,4,.243998,Y,N,4,.340445,Y,S,0,N,1,1,1,,,,-.57083333333333333333333333333333333333,,0,,,234,260,180,183,15,7.4,12.4,12,0,0,-.4,-.5,61.5384615384615384615384615384615384615,85.7142857142857142857142857142857142857,95.6521739130434782608695652173913043478,98.913043478260869565217391304347826087,Alabama,Jefferson,Sulfur dioxide,"Birmingham, AL",Fairfield,1003,,Fairfield,"Birmingham-Hoover, AL Metropolitan Statistical Area",28
01,073,1003,42401,2025,5,SO2 1-hour 2010,Annual 99th Percentile,75,008,Parts per billion,"FAIRFIELD, PFD, 5229 COURT B",33.4855560008686,-86.915,,,,,1,9.9,N,S,4,5.5,Y,N,8,N,,1,1,,,,,,,,,146,169,88,91,15,5,6.1,6.2,0,0,-.4,-.5,61.5384615384615384615384615384615384615,85.7142857142857142857142857142857142857,95.6521739130434782608695652173913043478,98.913043478260869565217391304347826087,Alabama,Jefferson,Sulfur dioxide,"Birmingham, AL",Fairfield,1003,,Fairfield,"Birmingham-Hoover, AL Metropolitan Statistical Area",19
01,073,1003,42401,2025,5,SO2 Annual 2024,Annual Mean,10,008,Parts per billion,"FAIRFIELD, PFD, 5229 COURT B",33.4855560008686,-86.915,,,,,1,.427609,N,S,4,.243998,Y,N,0,N,,1,1,,,,,,-.57083333333333333333333333333333333333,,,146,169,88,91,15,5,6.1,6.2,0,0,-.4,-.5,61.5384615384615384615384615384615384615,85.7142857142857142857142857142857142857,95.6521739130434782608695652173913043478,98.913043478260869565217391304347826087,Alabama,Jefferson,Sulfur dioxide,"Birmingham, AL",Fairfield,1003,,Fairfield,"Birmingham-Hoover, AL Metropolitan Statistical Area",28
