VALID_DATE,AQS_ID,SITE_NAME,PARAMETER,UNITS,VALUE,AVG_PERIOD,LATITUDE,LONGITUDE,DATA_SOURCE,AQSID
03/04/26,010030010,FAIRHOPE,OZONE-8HR,PPB,34,8,30.488900,-87.870600,Alabama Department of Environmental Management,010030010
03/04/26,010499991,Sand Mountain,OZONE-8HR,PPB,40,8,34.289001,-85.970065,EPA Office of Atmospheric Protection,010499991
03/04/26,010510005,Worthy-Wetumpka,OZONE-8HR,PPB,37,8,32.575940,-86.178192,Alabama Department of Environmental Management,840010510005
03/04/26,010550010,GADSDEN,OZONE-8HR,PPB,42,8,33.991341,-85.992653,Alabama Department of Environmental Management,010550010
03/04/26,010730023,NO. BHAM,OZONE-8HR,PPB,42,8,33.553100,-86.815000,Jefferson County Department of Health,010730023
03/04/26,010731005,MCADORY,OZONE-8HR,PPB,37,8,33.331100,-87.003600,Jefferson County Department of Health,010731005
03/04/26,010731010,LEEDS,OZONE-8HR,PPB,37,8,33.545300,-86.549200,Jefferson County Department of Health,010731010
03/04/26,010732003,WYLAM,OZONE-8HR,PPB,39,8,33.499700,-86.924200,Jefferson County Department of Health,010732003
03/04/26,010736002,TARRANT,OZONE-8HR,PPB,39,8,33.578300,-86.773900,Jefferson County Department of Health,010736002
03/04/26,010890014,Huntsville Old Airport,OZONE-8HR,PPB,31,8,34.691700,-86.591698,Huntsville Natural Resources and Environmental Management,010890014
03/04/26,010890022,Huntsville Capshaw,OZONE-8HR,PPB,42,8,34.772700,-86.756100,Huntsville Natural Resources and Environmental Management,010890022
03/04/26,010970003,Chickasaw,OZONE-8HR,PPB,35,8,30.769700,-88.087500,Alabama Department of Environmental Management,010970003
03/04/26,010972005,BAYROAD,OZONE-8HR,PPB,34,8,30.474400,-88.141100,Alabama Department of Environmental Management,010972005
03/04/26,011011002,MONTG,OZONE-8HR,PPB,35,8,32.412811,-86.263394,Alabama Department of Environmental Management,011011002
03/04/26,011030011,DECATUR,OZONE-8HR,PPB,43,8,34.528600,-86.970600,Alabama Department of Environmental Management,011030011
03/04/26,011130003,PC South Girard School,OZONE-8HR,PPB,42,8,32.437028,-84.999653,Alabama Department of Environmental Management,011130003
03/04/26,011170004,HELENA,OZONE-8HR,PPB,41,8,33.316900,-86.825000,Alabama Department of Environmental Management,011170004
03/04/26,011190003,Ward,OZONE-8HR,PPB,37,8,32.362530,-88.277920,Alabama Department of Environmental Management,011190003
03/04/26,011250011,Duncanville Middle School,OZONE-8HR,PPB,47,8,33.095379,-87.481507,Alabama Department of Environmental Management,011250011
03/04/26,050199991,Caddo Valley,OZONE-8HR,PPB,28,8,34.179500,-93.098800,EPA Office of Atmospheric Protection,050199991
03/04/26,050350005,MARION,OZONE-8HR,PPB,31,8,35.197156,-90.193178,Arkansas Department of Environmental Quality,050350005
03/04/26,051010002,DEER,OZONE-8HR,PPB,26,8,35.832650,-93.208081,Arkansas Department of Environmental Quality,051010002
03/04/26,051190007,PARR,OZONE-8HR,PPB,17,8,34.756058,-92.281034,Arkansas Department of Environmental Quality,051190007
03/04/26,051191002,NLRAP,OZONE-8HR,PPB,24,8,34.835603,-92.260456,Arkansas Department of Environmental Quality,051191002
03/04/26,051430005,SPRNGDLE,OZONE-8HR,PPB,14,8,36.179705,-94.116630,Arkansas Department of Environmental Quality,051430005
03/04/26,051430006,Fayetteville,OZONE-8HR,PPB,6,8,36.011670,-94.167491,Arkansas Department of Environmental Quality,051430006
03/04/26,100010002,KILLENS,OZONE-8HR,PPB,18,8,38.986672,-75.556800,Delaware Dept. of Natural Resources and Environment,100010002
03/04/26,100031007,LUMS 2,OZONE-8HR,PPB,7,8,39.551300,-75.732000,Delaware Dept. of Natural Resources and Environment,100031007
03/04/26,100031010,BCSP,OZONE-8HR,PPB,10,8,39.817222,-75.563889,Delaware Dept. of Natural Resources and Environment,100031010
03/04/26,100031013,BELLFNT2,OZONE-8HR,PPB,4,8,39.773889,-75.496389,Delaware Dept. of Natural Resources and Environment,100031013
03/04/26,100032004,MLK,OZONE-8HR,PPB,4,8,39.739444,-75.558056,Delaware Dept. of Natural Resources and Environment,100032004
03/04/26,100051002,SEAFORD,OZONE-8HR,PPB,23,8,38.653900,-75.610600,Delaware Dept. of Natural Resources and Environment,100051002
03/04/26,100051003,LEWES,OZONE-8HR,PPB,20,8,38.779100,-75.163230,Delaware Dept. of Natural Resources and Environment,100051003
03/04/26,110010041,RIVER_Terrace,OZONE-8HR,PPB,4,8,38.895683,-76.958089,District of Columbia - Department of Energy and Environment,110010041
03/04/26,110010043,McMillan Reservoir,OZONE-8HR,PPB,6,8,38.921848,-77.013176,District of Columbia - Department of Energy and Environment,110010043
03/04/26,110010050,TakomaRec,OZONE-8HR,PPB,5,8,38.970101,-77.016715,District of Columbia - Department of Energy and Environment,110010050
03/04/26,110010055,Bald Eagle,OZONE-8HR,PPB,7,8,38.818530,-77.010390,District of Columbia - Department of Energy and Environment,840110010055
03/04/26,120013012,Paynes Prairie Farm,OZONE-8HR,PPB,32,8,29.566150,-82.266066,Florida Dept. of Environmental Protection,840120013012
03/04/26,120030002,Osceola National Forest,OZONE-8HR,PPB,36,8,30.197200,-82.445000,Florida Dept. of Environmental Protection,120030002
03/04/26,120050006,St. Andrews Park,OZONE-8HR,PPB,30,8,30.128901,-85.738098,Florida Dept. of Environmental Protection,120050006
03/04/26,120090007,Melbourne,OZONE-8HR,PPB,30,8,28.054200,-80.628300,Florida Dept. of Environmental Protection,120090007
03/04/26,120094001,Cocoa Beach,OZONE-8HR,PPB,32,8,28.310800,-80.615600,Florida Dept. of Environmental Protection,120094001
03/04/26,120110033,V_VIEW,OZONE-8HR,PPB,28,8,26.073200,-80.338600,Broward County Natural Resources Division,120110033
03/04/26,120110034,NCORE,OZONE-8HR,PPB,26,8,26.054047,-80.257608,Broward County Natural Resources Division,120110034
03/04/26,120112003,POMPANO_BEACH,OZONE-8HR,PPB,28,8,26.290600,-80.096900,Broward County Natural Resources Division,120112003
03/04/26,120118002,DANIA_BEACH,OZONE-8HR,PPB,27,8,26.086400,-80.111400,Broward County Natural Resources Division,120118002
03/04/26,120210004,Laurel Oaks Elementary,OZONE-8HR,PPB,33,8,26.299200,-81.720000,Florida Dept. of Environmental Protection,120210004
03/04/26,120230002,Lake City,OZONE-8HR,PPB,36,8,30.178300,-82.619200,Florida Dept. of Environmental Protection,120230002
03/04/26,120310077,Sheffield Elementary School,OZONE-8HR,PPB,32,8,30.475800,-81.586900,City of Jacksonville - Environmental Quality Division,120310077
03/04/26,120310100,Mayo Clinic,OZONE-8HR,PPB,32,8,30.260300,-81.453300,City of Jacksonville - Environmental Quality Division,120310100
03/04/26,120310106,Cisco Drive,OZONE-8HR,PPB,31,8,30.378167,-81.840790,City of Jacksonville - Environmental Quality Division,120310106
03/04/26,120330004,Ellyson Industrial Park,OZONE-8HR,PPB,32,8,30.525000,-87.204399,Florida Dept. of Environmental Protection,120330004
03/04/26,120330018,Pensacola NAS,OZONE-8HR,PPB,33,8,30.368100,-87.270800,Florida Dept. of Environmental Protection,120330018
03/04/26,120350004,Flagler County,OZONE-8HR,PPB,32,8,29.489082,-81.276833,Florida Dept. of Environmental Protection,120350004
03/04/26,120550003,Archbold Biomedical Research Center,OZONE-8HR,PPB,31,8,27.188900,-81.340300,Florida Dept. of Environmental Protection,120550003
03/04/26,120570081,SIMMONS PARK,OZONE-8HR,PPB,33,8,27.740300,-82.465600,Hillsborough County - Tampa,120570081
03/04/26,120571035,DAVIS ISLAND,OZONE-8HR,PPB,36,8,27.928300,-82.454700,Hillsborough County - Tampa,120571035
03/04/26,120571065,GANDY,OZONE-8HR,PPB,37,8,27.892800,-82.538300,Hillsborough County - Tampa,120571065
03/04/26,120573002,SYDNEY,OZONE-8HR,PPB,35,8,27.965900,-82.230617,Hillsborough County - Tampa,120573002
03/04/26,120590004,Bonifay,OZONE-8HR,PPB,37,8,30.847500,-85.604400,Florida Dept. of Environmental Protection,120590004
03/04/26,120619991,Indian River Lagoon,OZONE-8HR,PPB,32,8,27.849200,-80.455400,EPA Office of Atmospheric Protection,120619991
03/04/26,120690002,Clermont,OZONE-8HR,PPB,35,8,28.525000,-81.723100,Florida Dept. of Environmental Protection,120690002
03/04/26,120710005,Winkler Pump Station,OZONE-8HR,PPB,36,8,26.602800,-81.878900,Florida Dept. of Environmental Protection,120710005
03/04/26,120712002,Rotary Park,OZONE-8HR,PPB,35,8,26.547500,-81.979700,Florida Dept. of Environmental Protection,120712002
03/04/26,120730012,Tallahassee Community College,OZONE-8HR,PPB,37,8,30.439700,-84.348300,Florida Dept. of Environmental Protection,120730012
03/04/26,120779991,Sumatra,OZONE-8HR,PPB,35,8,30.110300,-84.990300,EPA Office of Atmospheric Protection,120779991
03/04/26,120813002,Port Manatee,OZONE-8HR,PPB,29,8,27.633100,-82.545800,Florida Dept. of Environmental Protection,120813002
03/04/26,120814012,G. T. Bray Park,OZONE-8HR,PPB,34,8,27.480800,-82.618600,Florida Dept. of Environmental Protection,120814012
03/04/26,120814013,5511 39TH STREET EAST,OZONE-8HR,PPB,30,8,27.449400,-82.521896,Florida Dept. of Environmental Protection,120814013
03/04/26,120830003,YMCA - Marion County,OZONE-8HR,PPB,36,8,29.170799,-82.100800,Florida Dept. of Environmental Protection,120830003
03/04/26,120830004,County Sheriff Impound,OZONE-8HR,PPB,32,8,29.192800,-82.173300,Florida Dept. of Environmental Protection,120830004
03/04/26,120850007,Stuart,OZONE-8HR,PPB,26,8,27.172459,-80.240692,Florida Dept. of Environmental Protection,120850007
03/04/26,120860027,Rosenstiel,OZONE-8HR,PPB,28,8,25.732500,-80.162201,Florida Dept. of Environmental Protection,120860027
03/04/26,120910003,FWB Stillwell Park,OZONE-8HR,PPB,33,8,30.444368,-86.609567,Florida Dept. of Environmental Protection,840120910003
03/04/26,120950010,Skyview,OZONE-8HR,PPB,32,8,28.453167,-81.397139,Florida Dept. of Environmental Protection,840120950010
