Site_Name,AQS_ID,Pollutant,Param
29 Palms,TT5980500,PM2.5,88101
2912 Coffey,311530007,PM2.5,88101
60 Near Road,60710027,PM2.5,88101
710 Near Road,60374008,PM2.5,88101
840MMAZ10001,MMAZ10001,PM2.5,88501
840MMAZ10002,MMAZ10002,PM2.5,88501
840MMAZ10003,MMAZ10003,PM2.5,88501
840MMAZ10004,MMAZ10004,PM2.5,88501
840MMAZ10005,MMAZ10005,PM2.5,88501
840MMAZ10006,MMAZ10006,PM2.5,88501
92nd and Berry,310550052,PM2.5,88101
A Street,20900040,PM2.5,88101
ADEQ-DSR,51191008,PM2.5,88502
AIR LAB,470931013,PM2.5,88101
AJ Ottewell Com,CC0090134,PM2.5,88101
ALSIP,170310001,PM2.5,88101
ASHBURN,511071005,PM2.5,88101
ASHLAND,10270001,PM2.5,88101
ATHENS,471071002,PM2.5,88101
AYLESFORD MOUNT,30701,PM2.5,88101
Abbotsford Airp,101005,PM2.5,88502
Abbotsford,101003,PM2.5,88502
Aberdeen-Divisi,530272002,PM2.5,88502
Aberdeen,460130004,PM2.5,88101
Acadia NP - McF,230090103,PM2.5,88101
Adams State Col,80030001,PM2.5,88101
Adams-Birch,80010010,PM2.5,88101
Addis Ababa Cen,AA1010001,PM2.5,88101
Agassiz - Cente,100145,PM2.5,88502
Airdrie,CC0090250,PM2.5,88101
Airway Heights-,530639999,PM2.5,88101
Alamo Lake,40128000,PM2.5,88101
Albany - Calapo,410430009,PM2.5,88502
Albany,360010005,PM2.5,88101
Albany,130950007,PM2.5,88502
Albemarle HS,510030001,PM2.5,88101
Algonquin Parkw,211111041,PM2.5,88101
Allen Park,261630001,PM2.5,88101
Allentown,420770004,PM2.5,88101
Alpine,60731006,PM2.5,88101
Alton,171190120,PM2.5,88101
Altoona,420130801,PM2.5,88101
Amanda Elem,390170019,PM2.5,88101
Amarillo 24th A,483751025,PM2.5,88101
Anacortes-202 A,530570011,PM2.5,88101
Anacortes-Barth,530579999,PM2.5,88502
Anaheim,60590007,PM2.5,88101
Anderson-Eastsi,180950011,PM2.5,88101
Anjou,CC0050124,PM2.5,88101
Annan ,909119420,PM2.5,88502
Anthony,350130016,PM2.5,88101
Anzac,CC0094601,PM2.5,88101
Apache Junction,40213002,PM2.5,88101
Apple Valley,270370470,PM2.5,88101
Appleton AAL,550870009,PM2.5,88101
Arapahoe Commun,80050005,PM2.5,88101
Arden Arcade - ,60670006,PM2.5,88501
Ardrossan,CC0090135,PM2.5,88101
Arendtsville,420010001,PM2.5,88101
Arnold West,290990019,PM2.5,88101
Ascarate Park S,481410055,PM2.5,88101
Ashland Fire De,410290203,PM2.5,88502
Atascadero,60798002,PM2.5,88101
Athabasca Valle,90701,PM2.5,88101
Athens,130590002,PM2.5,88101
Atlantic City P,340011006,PM2.5,88101
Auburn 29th St,530330047,PM2.5,88502
Auburn,60610003,PM2.5,88101
Auclair,52801,PM2.5,88101
Audubon C38,484530020,PM2.5,88101
Augusta LSS,230110016,PM2.5,88101
Augusta,132450091,PM2.5,88101
Aurora,170890007,PM2.5,88101
Austin North In,484531068,PM2.5,88101
Austin Webbervi,484530021,PM2.5,88101
Avalon,420030002,PM2.5,88101
Azalea,121030018,PM2.5,88101
BATHURST,41302,PM2.5,88101
BDED,370210034,PM2.5,88101
BEACH ROAD,510410004,PM2.5,88101
BONDVILLE,170191001,PM2.5,88101
BPG,390170022,PM2.5,88101
BRAIDWD,171971011,PM2.5,88101
BRYSON,371730002,PM2.5,88101
BV,490110004,PM2.5,88101
Bad River Triba,550030010,PM2.5,88101
Badlands,460710001,PM2.5,88101
Bahokas Peak,530090019,PM2.5,88502
Baker City - Fo,410010004,PM2.5,88502
Bakersfield - C,60290014,PM2.5,88502
Bakersfield - G,60290010,PM2.5,88101
Bald Eagle,110010055,PM2.5,88101
Banciao,909029430,PM2.5,88502
Bangor MSS,230190017,PM2.5,88101
Banja Luka,BH2010001,PM2.5,88101
Banning - South,60650012,PM2.5,88502
Barrie,65001,PM2.5,88502
Bay City,260170014,PM2.5,88101
Baytown C148,482010058,PM2.5,88101
Beach,490352004,PM2.5,88101
Beaver Falls,420070014,PM2.5,88101
Beaverlodge,91501,PM2.5,88101
Beaverton - Hig,410670111,PM2.5,88502
Bee Ridge,121150013,PM2.5,88101
Belle Glade,120990008,PM2.5,88101
Belleville,65401,PM2.5,88502
Bellevue-SE 12t,530330031,PM2.5,88502
Bellingham Paci,530730019,PM2.5,88101
Bend - Pump Sta,410170120,PM2.5,88502
Bend NE 8th & E,410170123,PM2.5,88502
Bend Pine Ridge,410170116,PM2.5,88502
Bend Ponderosa ,410170115,PM2.5,88502
