area_name,pollutant,status,revoked_naaqs,orig_dv,orig_yrs,cur_dv,cur_dv24,cur_qa_yrs,cur_vio_tx,cur_dvasof,dv_units,class,areapop,ncntytotal,region,states,pollorder,composid,exportdt
"Ada County; Boise, ID",PM-10 (1987),Maint,,,,,,2022-2024,Insufficient Data,5/30/2025,&micro;g/m<sup>3</sup>,Moderate,240254,1,10,ID,B,PM-10.1990.Boise,2/28/2026
"Adams, Denver, and Boulder Counties; Denver Metropolitan area, CO",PM-10 (1987),Maint,,,,,0.0,2022-2024,Yes,5/30/2025,&micro;g/m<sup>3</sup>,Moderate,2770524,7,8,CO,B,PM-10.1990.Denver,2/28/2026
"Ajo (Pima County), AZ",Sulfur Dioxide (1971),Maint,,,,,,,,6/8/2020,ppb,Primary,8823,1,9,AZ,A,SO2.1978.Ajo,2/28/2026
"Albany-Schenectady-Troy, NY",1-Hour Ozone (1979),NAA,Revoked,0.128,,0.078,,2022-2024,Yes,5/28/2025,ppm,Marginal,937407,6,2,NY,G,Ozone_1-hr.1990.Albany,2/28/2026
"Albany-Schenectady-Troy, NY",8-Hour Ozone (1997),NAA,Revoked,0.087,,0.062,,2022-2024,Yes,5/28/2025,ppm,Marginal,970156,7,2,NY,G,Ozone_8-hr.1997.Albany,2/28/2026
"Albuquerque, NM",Carbon Monoxide (1971),Maint,,,,1.7,,2023-2024,Yes,5/6/2025,ppm,Moderate <= 12.7ppm,662564,1,6,NM,C,CO.1990.Albuquerque,2/28/2026
"Allegan County, MI",1-Hour Ozone (1979),Maint,Revoked,,,0.093,,2022-2024,Yes,5/28/2025,ppm,Incomplete Data,111408,1,5,MI,K,Ozone_1-hr.1990.Allegan_Co,2/28/2026
"Allegan County, MI",8-Hour Ozone (1997),Maint,Revoked,0.097,,0.074,,2022-2024,Yes,5/28/2025,ppm,Former Subpart 1,111408,1,5,MI,I,Ozone_8-hr.1997.Allegan_Co,2/28/2026
"Allegan County, MI",8-Hour Ozone (2015),NAA,,0.075,2014-2016,0.074,,2022-2024,No,5/28/2025,ppm,Serious,46615,1,5,MI,D,Ozone_8-hr.2015.Allegan_Co,2/28/2026
"Allegheny County Air Basin: Hazelwood monitor, PA",Sulfur Dioxide (1971),Maint,,,,,,,,6/8/2020,ppb,Primary,387190,1,3,PA,A,SO2.1978.Hazelwood,2/28/2026
"Allegheny County, PA",PM-2.5 (2012),NAA,,13.0,,10.6,,2022-2024,Yes,5/28/2025,&micro;g/m<sup>3</sup>,Moderate,1223348,1,3,PA,B,PM-2.5.2012.Allegheny_Co,2/28/2026
"Allegheny County; Liberty, Lincoln, Port Vue, Glassport, Clairton, PA",PM-10 (1987),Maint,,,,,0.0,2022-2024,Yes,5/30/2025,&micro;g/m<sup>3</sup>,Moderate,18700,1,3,PA,B,PM-10.1990.Liberty-Clairton,2/28/2026
"Allegheny, PA",Sulfur Dioxide (2010),Maint,,146,,62,,2022-2024,Yes,5/6/2025,ppb,,126934,1,3,PA,A,SO2.2010.Liberty-Clairton,2/28/2026
"Allentown, PA",PM-2.5 (2006),Maint,,36,,,23,2022-2024,Yes,5/28/2025,&micro;g/m<sup>3</sup>,Moderate,647232,2,3,PA,B,PM-2.5.2006.Allentown,2/28/2026
"Allentown-Bethlehem-Easton, PA",8-Hour Ozone (1997),Maint,Revoked,0.091,,0.065,,2022-2024,Yes,5/28/2025,ppm,Former Subpart 1,712481,3,3,PA,I,Ozone_8-hr.1997.Allentown,2/28/2026
"Allentown-Bethlehem-Easton, PA",8-Hour Ozone (2008),NAA,,0.076,2008-2010,0.065,,2022-2024,Yes,5/28/2025,ppm,Marginal,712481,3,3,PA,F,Ozone_8-hr.2008.Allentown,2/28/2026
"Allentown-Bethlehem-Easton, PA-NJ",1-Hour Ozone (1979),NAA,Revoked,0.137,,0.077,,2022-2024,Yes,5/28/2025,ppm,Marginal,821173,4,3-2,PA-NJ,G,Ozone_1-hr.1990.Allentown,2/28/2026
"Alton Township, IL",Sulfur Dioxide (2010),Maint,,,2009-2011,,,2022-2024,,5/6/2025,ppb,,0,1,5,IL,A,SO2.2010.Alton,2/28/2026
"Altoona, PA",1-Hour Ozone (1979),NAA,Revoked,0.129,,0.077,,2022-2024,Yes,5/28/2025,ppm,Marginal,127089,1,3,PA,G,Ozone_1-hr.1990.Altoona,2/28/2026
"Altoona, PA",8-Hour Ozone (1997),Maint,Revoked,0.085,,,,2022-2024,Insufficient Data,5/28/2025,ppm,Former Subpart 1,127089,1,3,PA,I,Ozone_8-hr.1997.Altoona,2/28/2026
"Amador County, CA",8-Hour Ozone (2015),NAA,,0.073,2014-2016,0.066,,2022-2024,Yes,5/28/2025,ppm,Marginal,38091,1,9,CA,F,Ozone_8-hr.2015.Amador_Co,2/28/2026
"Amador and Calaveras Cos. (Central Mountain Cos.), CA",8-Hour Ozone (1997),NAA,Revoked,0.091,,0.066,,2022-2024,Yes,5/28/2025,ppm,Moderate,83669,2,9,CA,E,Ozone_8-hr.1997.Amador_and_Calaveras_Cos,2/28/2026
