state,st_abbr,countyname,pollutant,revoked_naaqs,area_name,split,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022,yr2023,yr2024,yr2025,yr2026,effec_rede,nonattain,class,part,population,fips_state,fips_cnty,pollorder,composid,exportdt
ALABAMA,AL,Colbert County,Sulfur Dioxide (1971),,"Colbert County (part); TVA Colbert Plant, AL",FALSE,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/15/1993,,Secondary,P,54429,01,033,C,SO2.1978.Colbert_Co,2/28/2026
ALABAMA,AL,Jackson County,PM-2.5 (1997),,"Chattanooga, TN-GA-AL",FALSE,,,,,,,,,,,,,,05,06,07,08,09,10,11,12,13,,,,,,,,,,,,,,12/22/2014,,Moderate,P,1760,01,071,e,PM-2.5.1997.Chattanooga,2/28/2026
ALABAMA,AL,Jefferson County,1-Hour Ozone (1979),Revoked,"Birmingham, AL",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,,,,,,,,,,,,,,,,,,,,,,,,4/12/2004,,Marginal,W,658466,01,073,G,Ozone_1-hr.1990.Birmingham,2/28/2026
ALABAMA,AL,Jefferson County,8-Hour Ozone (1997),Revoked,"Birmingham, AL",FALSE,,,,,,,,,,,,,04,05,,,,,,,,,,,,,,,,,,,,,,6/12/2006,,Former Subpart 1,W,658466,01,073,g,Ozone_8-hr.1997.Birmingham,2/28/2026
ALABAMA,AL,Jefferson County,Lead (1978),,"Jefferson County, AL",FALSE,92,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/7/1995,,,P,658472,01,073,A,Lead.1992.Birmingham,2/28/2026
ALABAMA,AL,Jefferson County,PM-2.5 (1997),,"Birmingham, AL",FALSE,,,,,,,,,,,,,,05,06,07,08,09,10,11,12,,,,,,,,,,,,,,,2/21/2013,,Former Subpart 1,W,658466,01,073,g,PM-2.5.1997.Birmingham,2/28/2026
ALABAMA,AL,Jefferson County,PM-2.5 (2006),,"Birmingham, AL",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,,,,,,,,,,,,,,,2/25/2013,,Former Subpart 1,W,658466,01,073,g,PM-2.5.2006.Birmingham,2/28/2026
ALABAMA,AL,Lauderdale County,Sulfur Dioxide (1971),,"Lauderdale County (part); TVA Colbert Plant, AL",FALSE,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/15/1993,,Secondary,P,92707,01,077,C,SO2.1978.Lauderdale_Co,2/28/2026
ALABAMA,AL,Pike County,Lead (2008),,"Troy, AL",FALSE,,,,,,,,,,,,,,,,,,,10,11,12,13,14,15,16,17,,,,,,,,,,7/20/2018,,,P,2275,01,109,A,Lead.2008.Troy,2/28/2026
ALABAMA,AL,Shelby County,1-Hour Ozone (1979),Revoked,"Birmingham, AL",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,,,,,,,,,,,,,,,,,,,,,,,,4/12/2004,,Marginal,W,195085,01,117,G,Ozone_1-hr.1990.Birmingham,2/28/2026
ALABAMA,AL,Shelby County,8-Hour Ozone (1997),Revoked,"Birmingham, AL",FALSE,,,,,,,,,,,,,04,05,,,,,,,,,,,,,,,,,,,,,,6/12/2006,,Former Subpart 1,W,195085,01,117,g,Ozone_8-hr.1997.Birmingham,2/28/2026
ALABAMA,AL,Shelby County,PM-2.5 (1997),,"Birmingham, AL",FALSE,,,,,,,,,,,,,,05,06,07,08,09,10,11,12,,,,,,,,,,,,,,,2/21/2013,,Former Subpart 1,W,195085,01,117,g,PM-2.5.1997.Birmingham,2/28/2026
ALABAMA,AL,Shelby County,PM-2.5 (2006),,"Birmingham, AL",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,,,,,,,,,,,,,,,2/25/2013,,Former Subpart 1,W,195085,01,117,g,PM-2.5.2006.Birmingham,2/28/2026
ALABAMA,AL,Walker County,PM-2.5 (1997),,"Birmingham, AL",FALSE,,,,,,,,,,,,,,05,06,07,08,09,10,11,12,,,,,,,,,,,,,,,2/21/2013,,Former Subpart 1,P,4129,01,127,g,PM-2.5.1997.Birmingham,2/28/2026
ALABAMA,AL,Walker County,PM-2.5 (2006),,"Birmingham, AL",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,,,,,,,,,,,,,,,2/25/2013,,Former Subpart 1,P,4129,01,127,g,PM-2.5.2006.Birmingham,2/28/2026
ALASKA,AK,Anchorage Municipality,Carbon Monoxide (1971),,"Anchorage, AK",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,,,,,,,,,,,,,,,,,,,,,,,,7/23/2004,,Serious,P,286227,02,020,A,CO.1990.Anchorage,2/28/2026
ALASKA,AK,Anchorage Municipality,PM-10 (1987),,"Anchorage; Eagle River, AK",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,,,,,,,,,,,,,,,3/8/2013,,Moderate,P,219193,02,020,B,PM-10.1990.Anchorage,2/28/2026
ALASKA,AK,Fairbanks North Star Borough,Carbon Monoxide (1971),,"Fairbanks, AK",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,,,,,,,,,,,,,,,,,,,,,,,,9/27/2004,,Serious,P,46211,02,090,A,CO.1990.Fairbanks,2/28/2026
ALASKA,AK,Fairbanks North Star Borough,PM-2.5 (2006),,"Fairbanks, AK",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,  -   -,Yes,Serious,P,87456,02,090,d,PM-2.5.2006.Fairbanks,2/28/2026
ALASKA,AK,Juneau City and Borough,PM-10 (1987),,"Juneau; Mendenhall Valley area, AK",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,,,,,,,,,,,,,,,7/8/2013,,Moderate,P,14030,02,110,B,PM-10.1990.Juneau,2/28/2026
ARIZONA,AZ,Cochise County,PM-10 (1987),,"Cochise County; Paul Spur/Douglas planning area, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,  -   -,Yes,Moderate,P,17495,04,003,B,PM-10.1990.Douglas,2/28/2026
ARIZONA,AZ,Cochise County,Sulfur Dioxide (1971),,"Douglas (Cochise County), AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,,,,,,,,,,,,,,,,,,,,,,5/1/2006,,Primary,P,17495,04,003,A,SO2.1978.Douglas,2/28/2026
ARIZONA,AZ,Gila County,8-Hour Ozone (2015),,"Phoenix-Mesa, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,20,21,22,23,24,25,26,  -   -,Yes,Moderate,P,56,04,007,e,Ozone_8-hr.2015.Phoenix,2/28/2026
ARIZONA,AZ,Gila County,Lead (2008),,"Hayden, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,,14,15,16,17,18,19,20,21,22,23,24,25,26,  -   -,Yes,,P,1284,04,007,A,Lead.2008.Hayden,2/28/2026
ARIZONA,AZ,Gila County,PM-10 (1987),,"Gila County (part): Payson, AZ",FALSE,,,94,95,96,97,98,99,00,01,,,,,,,,,,,,,,,,,,,,,,,,,,8/26/2002,,Moderate,P,5333,04,007,B,PM-10.1990.Payson,2/28/2026
ARIZONA,AZ,Gila County,PM-10 (1987),,"Hayden, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,  -   -,Yes,Moderate,P,1587,04,007,B,PM-10.1990.Hayden,2/28/2026
ARIZONA,AZ,Gila County,PM-10 (1987),,"Miami, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,  -   -,Yes,Moderate,P,15218,04,007,B,PM-10.1990.Miami,2/28/2026
ARIZONA,AZ,Gila County,Sulfur Dioxide (1971),,"Miami (Gila County), AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,,,,,,,,,,,,,,,,,,,,,3/26/2007,,Primary,P,1514,04,007,A,SO2.1978.Miami,2/28/2026
ARIZONA,AZ,Gila County,Sulfur Dioxide (2010),,"Hayden, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,13,14,15,16,17,18,19,20,21,22,23,24,25,26,  -   -,Yes,,P,1284,04,007,A,SO2.2010.Hayden,2/28/2026
ARIZONA,AZ,Gila County,Sulfur Dioxide (2010),,"Miami, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,13,14,15,16,17,18,19,20,21,22,23,24,25,26,  -   -,Yes,,P,14995,04,007,A,SO2.2010.Miami,2/28/2026
ARIZONA,AZ,Greenlee County,Sulfur Dioxide (1971),,"Morenci (Greenlee County), AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,,,,,,,,,,,,,,,,,,,,,,,,6/25/2004,,Primary,P,8437,04,011,A,SO2.1978.Morenci,2/28/2026
ARIZONA,AZ,Maricopa County,1-Hour Ozone (1979),Revoked,"Phoenix, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,,,,,,,,,,,,,,,,,,,,,,,6/14/2005,,Serious,P,3763324,04,013,D,Ozone_1-hr.1990.Phoenix,2/28/2026
ARIZONA,AZ,Maricopa County,8-Hour Ozone (1997),Revoked,"Phoenix-Mesa, AZ",FALSE,,,,,,,,,,,,,04,05,06,07,08,09,10,11,12,13,,,,,,,,,,,,,,10/17/2014,,Marginal,P,3801700,04,013,f,Ozone_8-hr.1997.Phoenix,2/28/2026
ARIZONA,AZ,Maricopa County,8-Hour Ozone (2008),,"Phoenix-Mesa, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,  -   -,Yes,Moderate,P,3802415,04,013,e,Ozone_8-hr.2008.Phoenix,2/28/2026
ARIZONA,AZ,Maricopa County,8-Hour Ozone (2015),,"Phoenix-Mesa, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,20,21,22,23,24,25,26,  -   -,Yes,Moderate,P,3802075,04,013,e,Ozone_8-hr.2015.Phoenix,2/28/2026
ARIZONA,AZ,Maricopa County,Carbon Monoxide (1971),,"Phoenix, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,,,,,,,,,,,,,,,,,,,,,,,4/8/2005,,Serious,P,3763324,04,013,A,CO.1990.Phoenix,2/28/2026
ARIZONA,AZ,Maricopa County,PM-10 (1987),,"Maricopa and Pinal Counties; Phoenix planning area, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,  -   -,Yes,Serious,P,3817145,04,013,A,PM-10.1990.Phoenix,2/28/2026
ARIZONA,AZ,Mohave County,PM-10 (1987),,"Mohave County (part); Bullhead City, AZ",FALSE,,,94,95,96,97,98,99,00,01,,,,,,,,,,,,,,,,,,,,,,,,,,8/26/2002,,Moderate,P,10710,04,015,B,PM-10.1990.Bullhead_City,2/28/2026
ARIZONA,AZ,Pima County,Carbon Monoxide (1971),,"Tucson, AZ",FALSE,92,93,94,95,96,97,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/10/2000,,Not Classified,P,595314,04,019,D,CO.1990.Tucson,2/28/2026
ARIZONA,AZ,Pima County,PM-10 (1987),,"Pima County; Ajo planning area, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,,,,,,,,9/3/2020,,Moderate,P,8823,04,019,B,PM-10.1990.Ajo,2/28/2026
ARIZONA,AZ,Pima County,PM-10 (1987),,"Pima County; Rillito planning area, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,  -   -,Yes,Moderate,P,588,04,019,B,PM-10.1990.Rillito,2/28/2026
ARIZONA,AZ,Pima County,Sulfur Dioxide (1971),,"Ajo (Pima County), AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,,,,,,,,,,,,,,,,,,,,,,,,1/2/2004,,Primary,P,8823,04,019,A,SO2.1978.Ajo,2/28/2026
ARIZONA,AZ,Pinal County,8-Hour Ozone (1997),Revoked,"Phoenix-Mesa, AZ",FALSE,,,,,,,,,,,,,04,05,06,07,08,09,10,11,12,13,,,,,,,,,,,,,,10/17/2014,,Marginal,P,46927,04,021,f,Ozone_8-hr.1997.Phoenix,2/28/2026
