sensor_index,date_created,last_seen,name,Friendly_Name,model,firmware_version,latitude,longitude,altitude,date _expires,pollutants,sensor_man,site,av_buddy,qapp,Notes
176311,3/10/2023,7/21/2025,TDEC APC - Dyersburg - 176311,TDEC APC - Dyersburg - 176311,PA-II,7.02,36.05266,-89.38216,326,,PM,PurpleAir,Dyersburg,DYERSBURG,FALSE,
93593,12/10/2020,7/21/2025,Jackson4744,TDEC APC - Jackson - 93593,PA-II-SD,7.02,35.705894,-88.81981,445,,PM,PurpleAir,Jackson,Jackson NP,FALSE,
93321,12/9/2020,2/14/2025,Loretto21DD,TDEC APC - Loretto - 93321,PA-II,7.02,35.1189,-87.427055,842,,PM,PurpleAir,Loretto,Loretto,FALSE,
51741,4/7/2020,7/21/2025,LorettoD036,TDEC APC - Loretto - 51741,PA-II-SD,7.02,35.116882,-87.41976,905,,PM,PurpleAir,Loretto,Loretto,FALSE,
51737,4/7/2020,7/21/2025,LorettoD04A,TDEC APC - Loretto - 51737,PA-II-SD,7.02,35.11685,-87.41972,904,,PM,PurpleAir,Loretto,Loretto,FALSE,
51867,4/8/2020,7/21/2025,Loretto8DD0,TDEC APC - Loretto - 51867,PA-II-SD,7.02,35.116875,-87.419716,904,,PM,PurpleAir,Loretto,Loretto,TRUE,
93325,12/9/2020,7/21/2025,West Dickson,TDEC APC - West Dickson - 93325,PA-II-SD,7.02,36.080555,-87.39947,825,,PM,PurpleAir,West Dickson,,FALSE,
93659,12/10/2020,7/21/2025,ClarksvilleC223,TDEC APC - Clarksville - 93659,PA-II-SD,7.02,36.61107,-87.384705,486,,PM,PurpleAir,Clarksville,Clarksville WC,FALSE,
261331,1/25/2025,7/21/2025,Columbia QC2,TDEC APC - Columbia - 261331,PA-II,7.02,35.65159,-87.00967,713,,PM,PurpleAir,Columbia,Columbia,TRUE,
261271,1/25/2025,7/21/2025,Columbia QC1,TDEC APC - Columbia - 261271,PA-II,7.02,35.65120641,-87.0097612,713,,PM,PurpleAir,Columbia,Columbia,TRUE,
