,ATHENS,ATHENS,Clarksville WC,Clarksville WC,Columbia,Columbia,Cookeville,Cookeville,DYERSBURG,DYERSBURG,HARRIMAN,HARRIMAN,HVILLE,HVILLE,Jackson NP,Jackson NP,Kingsport PM,Kingsport PM,Loretto,Loretto,Loudon School,Loudon School,Loudon School,Loudon School,MARYVILL,MARYVILL
,PM25LC-BAM1,PMVOL-BAM1,PM25LC-BAM1,PMVOL-BAM1,PM25LC-BAM1,PMVOL-BAM1,PM25LC-BAM1,PMVOL-BAM1,PM25LC-BAM1,PMVOL-BAM1,PM25LC-BAM1,PMVOL-BAM1,PM25LC-BAM1,PMVOL-BAM1,PM25LC-BAM1,PMVOL-BAM1,PM25LC-BAM1,PMVOL-BAM1,PM25LC-BAM1,PMVOL-BAM1,PM25LC-BAM1,PMVOL-BAM1,PM25LC-BAM2,PMVOL-BAM2,PM25LC-BAM1,PMVOL-BAM1
Date,UG/M3,M3,UG/M3,M3,UG/M3,M3,UG/M3,M3,UG/M3,M3,UG/M3,M3,UG/M3,M3,UG/M3,M3,UG/M3,M3,UG/M3,M3,UG/M3,M3,UG/M3,M3,UG/M3,M3
01-Jan-2024 00:00,14.8,16.6,7.4,16.6,6.2,16.6,2.7,16.6,4.9,16.6,10.6,16.6,7,16.7,3.4,16.6,4.7,16.6,9,16.6,10,16.7,7,16.6,16.8,16.6
01-Jan-2024 01:00,14.1,16.6,6.8,16.6,5.2,16.6,3.8,16.5,11,16.6,8.9,16.6,9,16.6,8,16.6,4,16.6,7,16.6,9,16.7,11.8,16.6,8.5,16.6
01-Jan-2024 02:00,12.7,16.6,2.9,16.6,2.7,16.6,3.3,16.5,5.2,16.6,4.5,16.6,10,16.6,7.8,16.6,6,16.6,7.7,16.6,5,16.7,8,16.6,9.8,16.6
01-Jan-2024 03:00,7.8,16.6,-0.6,16.6,7.4,16.6,3.6,16.5,5.4,16.6,3.6,16.6,3,16.7,3.4,16.6,9.5,16.6,4,16.6,6,16.7,6.5,16.6,7,16.6
01-Jan-2024 04:00,9.8,16.6,3.2,16.6,5.7,16.6,4.5,16.5,3.3,16.6,3,16.6,1,16.7,5.3,16.6,5.3,16.6,3.4,16.6,3,16.7,9.2,16.6,5.3,16.6
01-Jan-2024 05:00,10.2,16.6,4.1,16.6,2,16.6,1.1,16.5,0.1,16.6,4.4,16.6,3,16.7,3.7,16.6,-0.1,16.5,1.4,16.6,4,16.7,2.6,16.6,5.2,16.6
01-Jan-2024 06:00,3.7,16.5,-0.6,16.6,2.7,16.6,1.7,16.6,4.5,16.6,3.3,16.6,3,16.7,3.8,16.6,3.3,16.6,4.3,16.6,-2,16.7,4,16.6,-0.3,16.6
01-Jan-2024 07:00,5.2,16.5,3.6,16.6,1.6,16.6,4.8,16.5,0.6,16.6,0.5,16.6,2,16.7,2.8,16.6,0.3,16.6,4.8,16.6,2,16.7,3.7,16.6,2.4,16.5
01-Jan-2024 08:00,2.3,16.5,1.8,16.6,2.5,16.6,2.4,16.5,2.2,16.6,0.5,16.6,4,16.7,0.9,16.6,2.2,16.5,5.4,16.6,0,16.7,3.8,16.6,0.2,16.6
01-Jan-2024 09:00,8.6,16.5,0.4,16.6,1.8,16.6,2.6,16.5,5.2,16.6,1.7,16.6,3,16.6,4.3,16.6,1.4,16.5,2.8,16.6,4,16.7,6,16.6,1.4,16.6
01-Jan-2024 10:00,4.6,16.6,4.2,16.6,4.1,16.6,6.6,16.5,2.4,16.6,-1.3,16.6,3,16.7,4.8,16.6,5.5,16.6,0.6,16.6,4,16.7,6.4,16.6,1.3,16.6
01-Jan-2024 11:00,0.5,16.6,1.6,16.6,-0.2,16.6,5.1,16.6,2.9,16.6,-0.2,16.6,2,16.7,2.1,16.6,4.6,16.5,2.9,16.6,-2,16.7,0.8,16.6,1.5,16.6
01-Jan-2024 12:00,3.1,16.6,0.4,16.6,7.6,16.6,2.3,16.6,2.3,16.6,1.4,16.6,10,16.7,1.9,16.6,1.2,16.6,2.5,16.6,1,16.6,2.3,16.6,-0.2,16.6
01-Jan-2024 13:00,4.5,16.6,1.5,16.6,3.3,16.6,0.9,16.5,1.7,16.6,1,16.6,2,16.7,-0.8,16.6,0.3,16.6,4.6,16.6,1,16.7,2.5,16.6,2.5,16.6
01-Jan-2024 14:00,5.1,16.6,3.3,16.6,0.5,16.6,2.6,16.5,4,16.6,1.5,16.6,1,16.7,2,16.6,3.7,16.6,1.4,16.6,4,16.7,1.5,16.6,-0.6,16.6
01-Jan-2024 15:00,3.6,16.6,0.5,16.6,3.7,16.6,2.7,16.5,6.7,16.6,1.4,16.6,2,16.6,2.7,16.6,5.3,16.6,0.8,16.6,3,16.7,2.7,16.6,-2.9,16.6
01-Jan-2024 16:00,3.3,16.5,-0.4,16.6,5.7,16.6,2.6,16.5,4.6,16.6,2.4,16.6,6,16.7,3.5,16.6,1.6,16.5,-0.1,16.6,4,16.7,1.7,16.6,1.1,16.6
01-Jan-2024 17:00,2.6,16.5,0.5,16.6,1.4,16.6,3,16.6,6.8,16.6,2.5,16.6,4,16.7,2.1,16.6,1.1,16.6,0.4,16.6,2,16.7,-2.3,16.6,-2.5,16.6
01-Jan-2024 18:00,5.6,16.6,5.3,16.6,3.5,16.6,4.4,16.5,5.9,16.6,4.9,16.6,5,16.7,1.6,16.6,5.5,16.5,2.5,16.6,0,16.7,1.8,16.6,0.4,16.6
